match_key,match_date,year,tourney_id,tournament,event_type,surface,indoor,round,best_of,score,minutes,data_source,player_id,player,player_rank,player_seed,player_entry,opponent_id,opponent,opponent_country,opponent_rank,opponent_seed,result,win,aces,double_faults,serve_points,first_serves_in,first_serve_points_won,second_serve_points_won,service_games,bp_saved,bp_faced,opp_bp_saved,opp_bp_faced,ranking_difference,upset_win,upset_loss,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,bp_save_pct,bp_opportunities,bp_converted,bp_conversion_pct,ace_rate,double_fault_rate,completed_sets,winner_sets_won,loser_sets_won,tiebreaks_played,winner_tiebreaks_won,loser_tiebreaks_won,winner_won_first_set,retirement_or_abandoned,walkover_or_default,score_parseable,deciding_set_played,five_set_match,player_sets_won,opponent_sets_won,player_tiebreaks_won,tiebreak_win_pct,straight_set_win,deciding_set_win,five_set_win,comeback_win,ranking_expected_win_prob,expectation_group,performance_vs_expectation,expectation_outcome
2026-404|69,2026-03-09,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R32,3,6-2 6-3,82.0,completed,PL56,Tommy Paul,24.0,23,,F0FV,Joao Fonseca,BRA,35.0,,L,0,2.0,2.0,58.0,39.0,23.0,6.0,8.0,6.0,10.0,0.0,1.0,11.0,0,1,0.6724137931034483,0.5897435897435898,0.3157894736842105,0.6,1.0,1.0,1.0,0.034482758620689655,0.034482758620689655,2,2,0,0,0,0,True,False,False,True,False,False,0,2,0,,0,0,0,0,0.5932203389830508,Toss-up,-0.5932203389830508,Loss
2026-404|71,2026-03-09,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R32,3,6-1 6-2,67.0,completed,TD51,Frances Tiafoe,22.0,21.0,,C0E9,Flavio Cobolli,ITA,15.0,15,W,1,7.0,1.0,56.0,33.0,27.0,12.0,8.0,5.0,5.0,5.0,9.0,-7.0,1,0,0.5892857142857143,0.8181818181818182,0.5217391304347826,1.0,9.0,4.0,0.4444444444444444,0.125,0.017857142857142856,2,2,0,0,0,0,True,False,False,True,False,False,2,0,0,,1,0,0,0,0.40540540540540543,Toss-up,0.5945945945945945,Win
2026-404|73,2026-03-09,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R32,3,6-4 1-6 6-4,122.0,completed,K0AZ,Aleksandar Kovacevic,72.0,,,D643,Novak Djokovic,SRB,3.0,3.0,L,0,16.0,1.0,96.0,54.0,42.0,20.0,14.0,4.0,6.0,2.0,4.0,-69.0,0,0,0.5625,0.7777777777777778,0.47619047619047616,0.6666666666666666,4.0,2.0,0.5,0.16666666666666666,0.010416666666666666,3,2,1,0,0,0,True,False,False,True,True,False,1,2,0,,0,0,0,0,0.04,Expected loss,-0.04,Loss
2026-404|77,2026-03-10,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R32,3,6-4 7-6(6),99.0,completed,M0QI,Alex Michelsen,44.0,,,FB98,Taylor Fritz,USA,7.0,7,W,1,9.0,1.0,78.0,55.0,40.0,13.0,11.0,7.0,8.0,7.0,9.0,-37.0,1,0,0.7051282051282052,0.7272727272727273,0.5652173913043478,0.875,9.0,2.0,0.2222222222222222,0.11538461538461539,0.01282051282051282,2,2,0,1,1,0,True,False,False,True,False,False,2,0,1,1.0,1,0,0,0,0.13725490196078433,Expected loss,0.8627450980392157,Upset win
2026-404|77,2026-03-10,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R32,3,6-4 7-6(6),99.0,completed,FB98,Taylor Fritz,7.0,7,,M0QI,Alex Michelsen,USA,44.0,,L,0,12.0,0.0,77.0,54.0,39.0,9.0,11.0,7.0,9.0,7.0,8.0,37.0,0,1,0.7012987012987013,0.7222222222222222,0.391304347826087,0.7777777777777778,8.0,1.0,0.125,0.15584415584415584,0.0,2,2,0,1,1,0,True,False,False,True,False,False,0,2,0,0.0,0,0,0,0,0.8627450980392157,Expected win,-0.8627450980392157,Unexpected loss
2026-404|82,2026-03-10,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R16,3,6-3 6-4,89.0,completed,TD51,Frances Tiafoe,22.0,21,,Z355,Alexander Zverev,GER,4.0,4.0,L,0,6.0,3.0,60.0,38.0,24.0,13.0,9.0,1.0,3.0,2.0,2.0,-18.0,0,0,0.6333333333333333,0.631578947368421,0.5909090909090909,0.3333333333333333,2.0,0.0,0.0,0.1,0.05,2,2,0,0,0,0,True,False,False,True,False,False,0,2,0,,0,0,0,0,0.15384615384615385,Expected loss,-0.15384615384615385,Loss
2026-404|83,2026-03-11,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R16,3,4-6 6-1 7-6(4),128.0,completed,T0HA,Learner Tien,27.0,25.0,,DH50,Alejandro Davidovich Fokina,ESP,19.0,18,W,1,10.0,4.0,114.0,69.0,50.0,23.0,15.0,4.0,5.0,0.0,2.0,-8.0,1,0,0.6052631578947368,0.7246376811594203,0.5111111111111111,0.8,2.0,2.0,1.0,0.08771929824561403,0.03508771929824561,3,2,1,1,1,0,False,False,False,True,True,False,2,1,1,1.0,0,1,0,1,0.41304347826086957,Toss-up,0.5869565217391304,Win
2026-404|85,2026-03-11,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,R16,3,6-2 6-4,87.0,completed,M0QI,Alex Michelsen,44.0,,,MM58,Daniil Medvedev,RUS,11.0,11.0,L,0,1.0,1.0,59.0,39.0,21.0,9.0,9.0,6.0,10.0,4.0,5.0,-33.0,0,0,0.6610169491525424,0.5384615384615384,0.45,0.6,5.0,1.0,0.2,0.01694915254237288,0.01694915254237288,2,2,0,0,0,0,True,False,False,True,False,False,0,2,0,,0,0,0,0,0.2,Expected loss,-0.2,Loss
2026-404|90,2026-03-13,2026,2026-404,Indian Wells Masters,Masters 1000,Hard,O,QF,3,6-1 6-2,66.0,completed,T0HA,Learner Tien,27.0,25,,S0AG,Jannik Sinner,ITA,2.0,2.0,L,0,4.0,5.0,49.0,29.0,14.0,10.0,7.0,1.0,5.0,4.0,4.0,-25.0,0,0,0.5918367346938775,0.4827586206896552,0.5,0.2,4.0,0.0,0.0,0.08163265306122448,0.10204081632653061,2,2,0,0,0,0,True,False,False,True,False,False,0,2,0,,0,0,0,0,0.06896551724137931,Expected loss,-0.06896551724137931,Loss
2026-403|11,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-3 7-6(6),98.0,completed,GC88,Marcos Giron,70.0,,,L0IL,Martin Landaluce,ESP,151.0,,L,0,3.0,2.0,80.0,48.0,37.0,14.0,10.0,8.0,10.0,1.0,2.0,81.0,0,1,0.6,0.7708333333333334,0.4375,0.8,2.0,1.0,0.5,0.0375,0.025,2,2,0,1,1,0,True,False,False,True,False,False,0,2,0,0.0,0,0,0,0,0.6832579185520362,Expected win,-0.6832579185520362,Unexpected loss
2026-403|15,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-0 RET,23.0,completed,D0DT,Martin Damm,133.0,,,F0BY,Jacob Fearnley,GBR,83.0,,W,1,3.0,0.0,13.0,10.0,10.0,2.0,3.0,0.0,0.0,2.0,5.0,-50.0,1,0,0.7692307692307693,1.0,0.6666666666666666,,5.0,3.0,0.6,0.23076923076923078,0.0,1,1,0,0,0,0,True,True,False,True,False,False,1,0,0,,1,0,0,0,0.38425925925925924,Toss-up,0.6157407407407407,Win
2026-403|17,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-7(6) 6-2 7-6(5),121.0,completed,O522,Reilly Opelka,67.0,,,BT72,Nuno Borges,POR,50.0,,W,1,27.0,4.0,90.0,65.0,57.0,16.0,16.0,0.0,0.0,0.0,2.0,-17.0,1,0,0.7222222222222222,0.8769230769230769,0.64,,2.0,2.0,1.0,0.3,0.044444444444444446,3,2,1,2,1,1,False,False,False,True,True,False,2,1,1,0.5,0,1,0,1,0.42735042735042733,Toss-up,0.5726495726495726,Win
2026-403|4,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,7-5 6-2,88.0,completed,B0CD,Jenson Brooksby,42.0,,,BU13,Zizou Bergs,BEL,45.0,,L,0,3.0,3.0,71.0,52.0,31.0,6.0,10.0,4.0,9.0,1.0,3.0,3.0,0,1,0.7323943661971831,0.5961538461538461,0.3157894736842105,0.4444444444444444,3.0,2.0,0.6666666666666666,0.04225352112676056,0.04225352112676056,2,2,0,0,0,0,True,False,False,True,False,False,0,2,0,,0,0,0,0,0.5172413793103449,Toss-up,-0.5172413793103449,Loss
2026-403|5,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,5-7 6-4 6-4,137.0,completed,S0K7,Zachary Svajda,96.0,,,K0O4,Moise Kouame,FRA,385.0,,L,0,9.0,3.0,91.0,58.0,44.0,17.0,16.0,1.0,4.0,10.0,12.0,289.0,0,1,0.6373626373626373,0.7586206896551724,0.5151515151515151,0.25,12.0,2.0,0.16666666666666666,0.0989010989010989,0.03296703296703297,3,2,1,0,0,0,False,False,False,True,True,False,1,2,0,,0,0,0,0,0.8004158004158004,Expected win,-0.8004158004158004,Unexpected loss
